Job Title,Company,Location,Salary,Requirements,Date Posted,Remote,Link
Data Scientist,Multirecruit,"Bengaluru, Karnataka","₹30,00,000 - ₹40,00,000 a year","Strong in problem-solving, algorithms, and data structures.
Hands on experience in technologies and tools related to any of NLP, Deep learning, Machine learning…",14 days ago,Temporarily remote,https://in.indeed.com/company/Multirecruit/jobs/Data-Scientist-2ec7305a9f78a193?fccid=b94c64777ff63d5e&vjs=3
Data Analytics Internship,Greenhorn Wellness Pvt. Ltd,"Bengaluru, Karnataka","₹12,000 - ₹18,000 a month","Query data and prepare reports in defined formats 2.
Analyze and provide customer insights based on data 3.
Eloelo was created with a vision to provide trusted…",12 days ago, - ,https://in.indeed.com/rc/clk?jk=f0dfd72e7b458a5d&fccid=ca1388544d44466c&vjs=3
Data Scientist,ABB,"Bengaluru, Karnataka",N/A,Conceptualizing and developing prescriptive analytic algorithms for rotating machinery and industrial structures based on vibration data.,28 days ago, - ,https://in.indeed.com/rc/clk?jk=484e7766ecde3820&fccid=38b4474838e7b7a1&vjs=3
Data Scientist,PayPal,"Bengaluru, Karnataka",N/A,"Build expertise in PayPal data sources to find, manage and simplify complex data.
PayPal being a data-driven company, expertise in data analytics will help you…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=73a16c72df362487&fccid=978d9fd9799d55a8&vjs=3
Data Scientist DA4AD,Daimler,"Bengaluru, Karnataka",N/A,"Experience with data visualisation tools like matplotlib, Tableau.
Experience with data visualisation tools like matplotlib, Tableau.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=46bb9ffbceb494f6&fccid=b25343f021fb51d7&vjs=3
Data Scientist - Machine Learning,Blue Yonder,"Bengaluru, Karnataka",N/A,"Procuring data from platform, client and public data sources.
Implementing data enrichment and cleansing routines.
3+ years of Python programming experience.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=28ed219574b7e67e&fccid=331ee4ee7383c9eb&vjs=3
Data & Applied Scientist 2,Microsoft,"Bengaluru, Karnataka",N/A,"We are a team of applied scientists working on machine learning components in the whole sponsored search stack.
Microsoft is an equal opportunity employer.",3 days ago, - ,https://in.indeed.com/rc/clk?jk=7e0a9948fd541963&fccid=734cb5a01ee60f80&vjs=3
Data Scientist,Arista Networks,"Bengaluru, Karnataka",N/A,"Two years of experience in data science/AI technologies.
Invent data science algorithms and measure their effectiveness across all of Awake’s customers.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=d847d20dc5c85c73&fccid=da9c8368867819c9&vjs=3
NLP Data Scientist - Cuddle.ai,Fractal.ai,"Bengaluru, Karnataka",N/A,"Incubated by Fractal, Cuddle's team comprises of Engineers, data-scientists & product designers based in US and India.
To know more, visit http://www.cuddle.ai.",7 days ago, - ,https://in.indeed.com/rc/clk?jk=17cf9990bcb68afd&fccid=adad512f93b8b92e&vjs=3
NLP Researcher,Engati Technologies,"Bengaluru, Karnataka","₹20,000 a month","Should have experience in data cleaning tasks and good knowledge of data set creation for NLP/NLU models.
Experience in applied research using modern NLP/NLU…",3 days ago,Temporarily remote,https://in.indeed.com/company/dWise-Solutions-Private-Limited/jobs/Nlp-Researcher-c9d332af82e2a0c2?fccid=71dbbebc12bb9d8c&vjs=3
Data Scientist 2,GO-JEK,"Bengaluru, Karnataka",N/A,"Along with Product Managers, own the business outcomes/metrics which the data science model/algorithm drives.
Familiarity with essential data science libraries,…",27 days ago, - ,https://in.indeed.com/rc/clk?jk=3bd3025799a5cb68&fccid=35c79097c1f63f3d&vjs=3
Data Scientist - GoMerchant,GO-JEK,"Bengaluru, Karnataka",N/A,"As a data scientist, you will work closely with the product managers, engineers, and business users to deliver scalable data science solutions - increasing the…",28 days ago, - ,https://in.indeed.com/rc/clk?jk=0fd40f26c5de027e&fccid=35c79097c1f63f3d&vjs=3
Data Scientist –Technology,Anlage Infotech,"Bengaluru, Karnataka",N/A,"Perform exploratory data analyses, generate and test working hypotheses, prepare and analyze historical data and identify patterns.",13 days ago, - ,https://in.indeed.com/rc/clk?jk=60dd8833eb98d723&fccid=072799ab08db3122&vjs=3
Data Scientist,Cumulations Technologies,"Bengaluru, Karnataka",N/A,"Build models and analyze medical data collected from healthcare devices and apps.
Expose this data to mobile and web apps to build feature set.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=e5fd7e309ed23877&fccid=70f275b3b7e5b4a3&vjs=3
Data Scientist /software,ANI Calls India Private Limited,"Bengaluru, Karnataka","₹9,00,000 - ₹16,00,000 a year","BI tools for data visualization like Tableau.
5 years of professional experience in a data science.
Experience extracting insights from large data sets using…",10 days ago, - ,https://in.indeed.com/rc/clk?jk=5dd735d9a6f57711&fccid=3799fa8ac2d1edf2&vjs=3
Data Scientist,Zauba Corp,"Bengaluru, Karnataka",N/A,"Design and development of robust, scalable and highly efficient data engineering solutions for structured and unstructured data.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=25f000ccb8f0a046&fccid=e6def446f0013465&vjs=3
Data Scientist,CoStrategix,"Bengaluru, Karnataka",N/A,"Strong skills in data-structures and algorithms.
Communicate context, data, solution and implications to the team, senior leaders and stakeholders.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=710a71b8505cacec&fccid=351f799a27db078c&vjs=3
Sales Development Data Scientist,freshworks,"Bengaluru, Karnataka",N/A,"Ability to use and learn a wide variety of tools Like Gong , Outreach etc to mine the relevant data and build data models that will provide visibility on SDR…",21 days ago, - ,https://in.indeed.com/rc/clk?jk=2e98962ae5a74ba8&fccid=37f39930e85bec2a&vjs=3
Data Scientist,Bharat Light & Power,"Bengaluru, Karnataka",N/A,"Experience with data analysis/Modelling.
Strong Python skills for data wrangling / analysis / visualization / modeling.
Highly skilled at Data Interpretation.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=d07d50d593b799b5&fccid=582fa9cbcecd5085&vjs=3
Data Scientist / Data Analyst,Altimetrik Corp,"Bengaluru, Karnataka",N/A,"3+ years of data science,.
Experience creating and maintaining data pipelines.
Data analytics, or business intelligence experience.",27 days ago, - ,https://in.indeed.com/rc/clk?jk=bd3794ee572dbc0c&fccid=958531310cfc5a5d&vjs=3
Sr.Data Analyst/ Scientist,ANI Calls India Private Limited,"Bengaluru, Karnataka","₹8,00,000 - ₹16,00,000 a year","Design, develop and implement data science and business analytics models for problem solving.
Analyze and evaluate research and interpret data, making sure that…",10 days ago, - ,https://in.indeed.com/rc/clk?jk=2afedd73edc27622&fccid=3799fa8ac2d1edf2&vjs=3
Senior Data Scientist,PLUTO 7,"Bengaluru, Karnataka",N/A,"Work experience in building data pipelines to ingest, cleanse and transform data.
Good exposure in exploratory data analysis.
Good in Python/R/SAS programming.",21 days ago,Remote,https://in.indeed.com/company/PLUTO-7/jobs/Senior-Data-Scientist-e873cdb717e17042?fccid=ef05ccafeb295638&vjs=3
Senior Data Scientist,Oracle,"Bengaluru, Karnataka",N/A,"Test proposed solutions on real data.
Write algorithmic specifications for forecasting, optimization, and data mining engines.
Location: IN-IN,India-Bengaluru.",7 days ago, - ,https://in.indeed.com/rc/clk?jk=71df884f2f0e7d4d&fccid=cd22d01053af7669&vjs=3
Data Scientist,Colortokens,"Bengaluru, Karnataka",N/A,"Good knowledge on data modelling, software architecture and data structures.
Analyze data for trends and patterns, and Interpret data with a clear objective in…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=20336b2c6f6c8c86&fccid=c8e0c581d16fb6bd&vjs=3
Data Scientist,KhataBook,"Bengaluru, Karnataka",N/A,"Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=1e86b048bb38f3a0&fccid=ebdc6302e06a6368&vjs=3
Data Scientist,MakeMyTrip,"Bengaluru, Karnataka",N/A,"Work with Engineering teams to improve data quality.
Explore data and communicate insights clearly to various stakeholders.
Sanjay Mohan, Group CTO, MakeMyTrip.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=82a9556f1fb36664&fccid=a1032ac404ecbf0b&vjs=3
Lead Data Scientist,Société Générale,"Bengaluru, Karnataka",N/A,"Perform high value data interpretation with quality, action-oriented results to transform business.
Very strong grasp of IT concepts with a strong algorithms…",4 days ago, - ,https://in.indeed.com/rc/clk?jk=8e1a371909e6c4dd&fccid=df6948c9b8da6236&vjs=3
Senior Data Scientist,Levi Strauss & Co.,"Bengaluru, Karnataka",N/A,"This role will lead specific projects/initiatives for internal clients; directly mentor data scientists, data analysts, and data engineers; and will perform…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=86e196fd8bdd8ae8&fccid=dc023faa36b88bf2&vjs=3
Big Data Engineer,BDI Plus,"Bengaluru, Karnataka","₹5,00,000 - ₹12,00,000 a year","This position is responsible for developing, implementing and maintaining *Java and Big data based Products and components for the Big data science enabled…",18 days ago,Temporarily remote,https://in.indeed.com/company/BDI-Plus/jobs/Big-Data-Engineer-4165861695796209?fccid=481f301d49c1900b&vjs=3
Data Scientist,CogniSure,"Bengaluru, Karnataka",N/A,"Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Build custom data models and machine-learning algorithms to apply to…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=5017bb0e32ca18f3&fccid=ab5a867b39cf07b5&vjs=3
Data Scientist,Coso IT,"Bengaluru, Karnataka",N/A,Must have experience in designing and implementing machine learning or statistical models for big data analytics using Spark-ML / Tensorflow.,30+ days ago, - ,https://in.indeed.com/rc/clk?jk=ae33795f6338a96c&fccid=6c8cd7fe12789d44&vjs=3
Data Scientist,Coso IT,"Bengaluru, Karnataka",N/A,Must have experience in designing and implementing machine learning or statistical models for big data analytics using Spark-ML / Tensorflow.,30+ days ago, - ,https://in.indeed.com/rc/clk?jk=ae33795f6338a96c&fccid=6c8cd7fe12789d44&vjs=3
Assistant Manager - Data Scientist,Genpact,"Bengaluru, Karnataka",N/A,"Experience in building data pipelines using different data sources.
Develop processes for data preparations, modelling and mining & discover opportunities for…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=116b14de13ff3165&fccid=afe30394bfba1470&vjs=3
Senior Data Scientist,Razorpay,"Bengaluru, Karnataka",N/A,"Run data exploration to understand relationships and patterns within the data, develop data visualisation to represent and be able to demonstrate the…",27 days ago, - ,https://in.indeed.com/rc/clk?jk=267992bb0f881ed9&fccid=496606ba56c9757a&vjs=3
Data Scientist,Tenzai,"Bengaluru, Karnataka",N/A,"Comfortable with exploring large data sets.
Develops recommendation from complex data and business analyses and formulates them into business plan.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=bb953fa9ddd1eddf&fccid=76c14b7d669dd960&vjs=3
Data Scientist,Kwalee,"Bengaluru, Karnataka",N/A,"Build data solutions to solve business problems.
A proven track record of solving problems with data.
Experience managing data projects from prototype to…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=f8259efe0f107d40&fccid=069a96b26806555a&vjs=3
Data Scientist,Hitachi Vantara,"Bengaluru, Karnataka",N/A,"Must have led a team of data engineers and data scientists in leading data science engagements.
Perform exploratory data analyses, generate and test working…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=a4f205ca2917f0be&fccid=9536dde6bb34eec9&vjs=3
Machine Learning (Computer Vision) Internship,RoadMetrics,"Bengaluru, Karnataka","₹7,500 a month","Build end-to-end data pipelines to handle and manage large amounts of data 4.
RoadMetrics provides an accurate, efficient and portable solution to all road…",11 days ago, - ,https://in.indeed.com/rc/clk?jk=35aadfa5e65d5d64&fccid=4e4fecea93d2198e&vjs=3
Data Scientist,Canum Infotech,"Bengaluru, Karnataka",N/A,"Processing, cleansing, and verifying the integrity of data used for analysis.
Advocate, evangelize and build data-fueled products that help our customers grow…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=cf3f919d9bb74733&fccid=1a43187a36d73efb&vjs=3
Data Scientist / Machine Learning Expert,ANI Calls India Private Limited,"Bengaluru, Karnataka","₹8,00,000 - ₹16,00,000 a year","Strong intuition for data and Keen aptitude on large scale data analysis.
6-9 years of strong experience in data mining, machine learning and statistical…",10 days ago, - ,https://in.indeed.com/rc/clk?jk=6db18db2956c981c&fccid=3799fa8ac2d1edf2&vjs=3
Sr. Data Scientist,NetApp,"Bengaluru, Karnataka",N/A,"A master’s degree is data science, data analysis or statistics is preferred.
5+ years of experience in data analysis and business insights.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=d5750b8489178960&fccid=77cec2f25f9bd7ed&vjs=3
Data Scientist,Axxonet System Technologies Private Limited,"Bengaluru, Karnataka",N/A,"Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=69a8655a050c76c8&fccid=0d1bd5203d229ac7&vjs=3
DATA SCIENTIST / MACHINE LEARNING EXPERT,Spectrus,"Bengaluru, Karnataka",N/A,"Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Excellent understanding of Machine learning techniques and…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=825fbbe35cb71f31&fccid=921162784471853a&vjs=3
Senior Data Scientist,Ormae,"Bengaluru, Karnataka",N/A,"We will conduct a written test to test your data science and algorithmic programming background.
Should have 3-10 years of experience in Data Science algorithm…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=da4491bc686e2212&fccid=5cd96d9bb543f219&vjs=3
Lead Data Scientist,Unilever,"Bengaluru, Karnataka",N/A,"Better data and data science access for every part of Unilever, across the 3 data framework (Connectivity, Growth, Continuous Improvement) and leading through…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=82b0bbb55050985f&fccid=37e886222e0cbb3a&vjs=3
Lead Data Scientist,TARGET,"Bengaluru, Karnataka",N/A,"Gathers required data and performs data analysis to support business need.
Interprets results using a variety of techniques, ranging from simple data…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=3995866565b690bc&fccid=15f43d82dc901ff2&vjs=3
Lead Data Scientist,TARGET,"Bengaluru, Karnataka",N/A,"Gathers required data and performs data analysis to support business need.
Interprets results using a variety of techniques, ranging from simple data…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=3995866565b690bc&fccid=15f43d82dc901ff2&vjs=3
Data Analyst / Data Science Intern,FutureWagon,"Bengaluru, Karnataka",N/A,"This role would require the ability to manipulate vast data into meaningful decision-making data.
Must be able to set up reports, work with team members to read…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=99e19843d355a370&fccid=55101eda0285cdf6&vjs=3
Machine Learning,Xpheno,"Bengaluru, Karnataka","₹15,00,000 - ₹20,00,000 a year","Experience building large scale data processing pipelines.
We are hiring for a leading Multinational Technology Company that specializes in enterprise infra…",21 days ago, - ,https://in.indeed.com/rc/clk?jk=8078c3c318310afd&fccid=db03645b64fe84d5&vjs=3
Sr Data Scientist,TARGET,"Bengaluru, Karnataka",N/A,"Work with data engineers on data quality assessment, data cleansing and data analytics.
Perform exploratory and targeted data analyses using descriptive…",4 days ago, - ,https://in.indeed.com/rc/clk?jk=1e41db0a773afae3&fccid=15f43d82dc901ff2&vjs=3
Business Analyst - Data Scientist,Mitel,"Bengaluru, Karnataka",N/A,"Enhance and maintain databases by acquiring data from multiple sources, and build scripts that will make the data evaluation process more flexible and scalable…",16 days ago, - ,https://in.indeed.com/rc/clk?jk=8c0bec2bba8df965&fccid=2cdf9849af75cea3&vjs=3
Staff Data Scientist,Walmart,"Bengaluru, Karnataka",N/A,"Build complex data sets from multiple data sources, both internally and externally.
Interpret data to identify trends to go across future data sets.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=4ef2750427ada472&fccid=822bc5d9a49270ea&vjs=3
Data Science,AdmyBrand,"Bengaluru, Karnataka",N/A,"Extending company's data with third party sources of information when needed.
Enhancing data collection procedures to include information that is relevant for…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=4d8408ec9985678f&fccid=f704e50e15210608&vjs=3
Data Scientist,Skoruz,"Bengaluru, Karnataka",N/A,"Design and develop end to end data pipeline and management for Product Development on AWS Stack, mentor junior team members as we grow the team, Take lead on…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=26fac96b3b3b6cc4&fccid=3618f2429376ec5d&vjs=3
Manager - Data Scientist,Genpact,"Bengaluru, Karnataka",N/A,"Experience using computer languages (Python, SQL, etc.) to manipulate data and draw insights from large data sets.
Are you the one we are looking for?",28 days ago, - ,https://in.indeed.com/rc/clk?jk=b1e885e9d379f6ad&fccid=afe30394bfba1470&vjs=3
Data Scientist - Decision Systems/Machine Learning/Deep Lear...,Oracle,"Bengaluru, Karnataka",N/A,"Work with fellow data scientists/SW engineers to build out other parts of the infrastructure, effectively communicating your needs and understanding theirs and…",Just posted, - ,https://in.indeed.com/rc/clk?jk=2476a234bc3fdbff&fccid=cd22d01053af7669&vjs=3
Senior Data Scientist,GSN Games,"Bengaluru, Karnataka",N/A,"Collaborate with other data scientists and data analysts to build, tune, and optimize machine learning models to optimize all aspects of the business.",7 days ago, - ,https://in.indeed.com/rc/clk?jk=a0da246182eac717&fccid=ac5a149672c641e5&vjs=3
Senior Data Scientist- Computer Vision,Walmart,"Bengaluru, Karnataka",N/A,"We are building smart data systems that ingest, model and analyse massive flow of data from online and offline activity.
Product from inception to production.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=60ca98e68e8e13ec&fccid=822bc5d9a49270ea&vjs=3
Data Scientist,loyalytics consulting,"Bengaluru, Karnataka","₹8,00,000 - ₹10,00,000 a year","3-4 years real world experience working as a data scientist.
We are looking for a passionate Data Scientist to turn data into meaningful information that can…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=881f564489584c28&fccid=dd5490ec67287968&vjs=3
Data Scientist,Shri TirupatiI Balaji Education Foundation,"Bengaluru, Karnataka",N/A,"Candidate will be trained during job for 5 months and then placed in MNC,s.
This can be done online.
Candidates from batch 2018, 2019, 2020 are preferred.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=af72aa03769d08c6&fccid=029a9fc434ec1c1f&vjs=3
Data Scientist,Tookitaki,"Bengaluru, Karnataka",N/A,"The data science team is responsible for solving business problems with complex data.
We are looking for a junior data scientist who has a deep interest in…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=6c393af60f506bb6&fccid=475adce53f46c3ba&vjs=3
Data Scientist,Encora Innovation Labs India Private Limited,"Bengaluru, Karnataka",N/A,"Expertise in machine / deep learning, and used various complex algorithms related to NLP, Recommendation Systems, Scoring, etc.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=f2cde3d1981ea0a1&fccid=fe14a189beab7315&vjs=3
Senior Data Scientist,Grab Taxi,"Bengaluru, Karnataka",N/A,"Proficient in one data science friendly programming languages like R, Python or Scala with strong capabilities in data manipulation, writing ETLs and doing data…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=5f787cff2a4bb432&fccid=b79fa3ee18655a5a&vjs=3
Sr. Data Scientist / Machine learning Expert,Bidgely,"Bengaluru, Karnataka",N/A,"Strong intuition for data and Keen aptitude on large scale data analysis.
You must enjoy working with large data and finding interesting patterns in the data…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=47b0cd712c5eecb2&fccid=d957fea80e0681b1&vjs=3
Data Scientist,Merck KGaA,"Bengaluru, Karnataka",N/A,"You will assess data sources and data gathering techniques for effectiveness and accuracy.
You will develop custom data models and algorithms to apply to the…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=0271c87a8b2cfe8c&fccid=68d0e0954a811351&vjs=3
Senior Data Scientist,GO-JEK,"Bengaluru, Karnataka",N/A,"This will entail proactively identifying various data sources and developing robust techniques to detect anomalous patterns in them.
Gojek is a Super App.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=fea784c5b104297c&fccid=35c79097c1f63f3d&vjs=3
URGENT REQUIREMENT FOR DATA SCIENCE SOLUTION,Radical Technologies,"Bengaluru, Karnataka","₹20,000 - ₹30,000 a month","We are looking for DATASCIENCE & MACHINE LEARNING WITH PYTHON Part Time Trainer on very urgent basis for Online training batches.
Salary : 20k to 30k per Batch.",5 days ago, - ,https://in.indeed.com/rc/clk?jk=a187631353b3a9d6&fccid=2fbc99555cec9540&vjs=3
Senior Data Scientist,ANI Calls India Private Limited,"Bengaluru, Karnataka","₹9,00,000 - ₹16,00,000 a year",Excellent SQL skills and the ability to use tools such as Python or R to work efficiently at scale with large data sets.,10 days ago, - ,https://in.indeed.com/rc/clk?jk=ec00ff3ddde8cc43&fccid=3799fa8ac2d1edf2&vjs=3
Machine Learning Analyst,Pattern Effects Labs,"Bengaluru, Karnataka",N/A,"Looking for machine learning and data enthusiast.
Candidate should be passionate to use various ML algorithms to solve the problem.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=87b10c124ae3068d&fccid=636b2f7c338b7ec9&vjs=3
Data Scientist II,ADCI - Karnataka,"Bengaluru, Karnataka",N/A,"Previous experience in a ML or data scientist role with a large technology company.
You will implement data flow solutions that process data real time on…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=597af5a58bc8a2d2&fccid=fe2d21eef233e94a&vjs=3
Data Scientist,Alphonso,"Bengaluru, Karnataka",N/A,"With the industry’s largest TV data footprint, we map ad exposure data from tens of millions of households to a broad range of third-party data sets such as…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=16ccd7de9fa1e34c&fccid=c50ec4f3c260359f&vjs=3
Data Scientist,Sequretek,"Bengaluru, Karnataka",N/A,"1-3 years of experience applying ML / Deep Learning algorithms and techniques to real-world data sets.
The company is backed by industry veterans who have come…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=43ff9de660a2fb78&fccid=998eb3a2dcb2ffd7&vjs=3
Business Analyst - Data Scientist,Genpact,"Bengaluru, Karnataka",N/A,"High level of intellectual curiosity about the use of data engineering and Analytics.
With a startup spirit and 90,000+ curious and courageous minds, we have…",17 days ago, - ,https://in.indeed.com/rc/clk?jk=1bc3b2b9000c015a&fccid=afe30394bfba1470&vjs=3
Research Data Scientist,Analytics Quotient,"Bengaluru, Karnataka",N/A,"Empower the growing AQ community to generate value from existing data assets.
Be involved across all the different stages: from data discovery/generation and…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=1d0404f9c6d74557&fccid=e5080817b49c7cfb&vjs=3
Senior Data Scientist,Bewakoof,"Bengaluru, Karnataka",N/A,Bewakoof.com is looking for a senior data scientist who can create and deploy data product models that power a vast range of applications related to product…,30+ days ago, - ,https://in.indeed.com/rc/clk?jk=0f8f028530f794bb&fccid=277825ba13ea8b8a&vjs=3
Data Scientist- AI,Lymbyc Solutions,"Bengaluru, Karnataka",N/A,"We have created the world’s first data scientist, Leni, capable of understanding plain English queries from user, and autonomously being able to take decisions…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=623a5c74899827b6&fccid=ebd85ace1e680b21&vjs=3
Data Engineer with Machine Learning - 3-5years experience fo...,TalentHunt Consulting,"Bengaluru, Karnataka","₹10,00,000 - ₹20,00,000 a year","Ideally, experience working in a data-centric team or organization that delivers or manages data assets.
Experience leveraging open source data.",14 days ago, - ,https://in.indeed.com/company/TalentHunt-Consulting-LLP/jobs/Data-Engineer-Machine-Learning-ae94d63f1de5a751?fccid=4fb1ea0c794fa45d&vjs=3
Data Scientist,BDB,"Bengaluru, Karnataka",N/A,"3+ years of experience in using statistical and data mining techniques to solve real business problems.
Analyze data sets to summarize, identify trends, predict…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=fabaac61d852540b&fccid=1a6c6fd90b31491e&vjs=3
Senior Data Scientist,Johnson Controls,"Bengaluru, Karnataka",N/A,The successful candidate will be responsible for developing solutions using state-of-the-art machine-learning & computer vision techniques.,18 days ago, - ,https://in.indeed.com/rc/clk?jk=8e9c85137699d818&fccid=dacddaa4d49537d8&vjs=3
Computer Vision Research Engineer - Machine Learning,Mercedes-Benz Research and Development India Priva...,"Bengaluru, Karnataka",N/A,"Experience working with synthetic and artificial data to solve real world problems.
Experience with object classification, gesture recognition or human pose…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=6368a25c0eaf04fb&fccid=33fa1494c1a3ee87&vjs=3
Data Science AI ML Trainer,IIFCA Academy,"Koramangala, Bengaluru, Karnataka","₹5,000 - ₹20,000 a month","Candidate should have expertise in teaching Data Science AI ML.
Good exposure to the current market trends.
Must have work experience in the domain for at least…",6 days ago, - ,https://in.indeed.com/company/IIFCA-Academy/jobs/Data-Science-Ai-Ml-Trainer-f0d74d973559247c?fccid=fcfcf0731cf902ef&vjs=3
Data Scientist,Bayer,"Bengaluru, Karnataka",N/A,"Demonstrates intermediate proficiency in computational skills and level of experience building data models using R, Python or other statistical and/or…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=65dce5ca18f7006f&fccid=e08122e0e993cc32&vjs=3
Data Scientist,Netradyne,"Bengaluru, Karnataka",N/A,"Perform data wrangling tasks such as acquiring, cleaning, structuring and enriching data.
Experience with data visualization and storytelling.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=ae43c6cbf52036cf&fccid=aee18a3dfecde702&vjs=3
Data Scientist,Magicbricks,"Bengaluru, Karnataka",N/A,"Identify third party data that can be used to enhance the information gained.
Processing, cleansing, and verifying the integrity of data used for analysis.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=7e235afe8696416e&fccid=e56924e1c52c9e61&vjs=3
Sr. Data Scientist,Blackhawk Network,"Bengaluru, Karnataka",N/A,"You will build large scale data lake that collect, processes and transforms the data into valuable business insights.
So, what are you waiting for?",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=9a7ce29fe4f78d1d&fccid=9cbee42cad63ad9e&vjs=3
Scientific Research – Data Scientist – R&D,CareerXperts,"Bengaluru, Karnataka",N/A,We are looking for self-motivated scientists & engineers to join a supercharged workplace and build a first-generation analytical product.,30+ days ago, - ,https://in.indeed.com/rc/clk?jk=7320019721790075&fccid=b7b641e3cd525101&vjs=3
Senior Data Scientist,EagleView,"Bengaluru, Karnataka",N/A,"Contribute across different stages of deep learning model development including data.
Collection, data cleaning, model development, validation and deployment.",29 days ago, - ,https://in.indeed.com/rc/clk?jk=c4a79387c907658b&fccid=3f11836ada2d0e87&vjs=3
Data Scientist (Bank),Snaphunt Pte Ltd,"Bengaluru, Karnataka",N/A,"Providing strategic recommendations based on rigorous data analysis.
Driving all data analytics activities ranging from conceptualisation, visualisation to…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=92fec242f63aa76c&fccid=d6545ed47a8e6a25&vjs=3
Principal Data Scientist - Digital Applied Innovation,Wabtec,"Bengaluru, Karnataka",N/A,"A minimum of 8 years of experience as a data scientist with established skills in advanced data analytics, predictive modeling, deep learning neural networks,…",8 days ago, - ,https://in.indeed.com/rc/clk?jk=c75960c3fd7820aa&fccid=4f4e9de46f588f62&vjs=3
Data Scientist – Module Lead,WinWire,"Bengaluru, Karnataka",N/A,"Working with engineering teams to incorporate analyses and solutions, including working with data engineers on data quality assessment, data cleansing and data…",11 days ago, - ,https://in.indeed.com/rc/clk?jk=f611656a71e59f10&fccid=1795993b31140ca5&vjs=3
Machine Learning,Hacklab Solutions Private Limited,"Bengaluru, Karnataka","₹12,000 - ₹15,000 a month","Selected intern's day-to-day responsibilities include:
Implementing SLAM to create autonomous high fidelity maps from a sequence of images.",18 days ago, - ,https://in.indeed.com/rc/clk?jk=c30988c92aaa1970&fccid=d6bb621224a0eea4&vjs=3
Product Analytics - FinTech - Series C Funded $800M - Bangal...,Chainlink Labs,"Bengaluru, Karnataka","₹30,00,000 - ₹50,00,000 a year","Identify gaps in existing data and work with Engineering teams to implement data tracking.
A passion for analytics, using data to inform decision-making and the…",1 day ago, - ,https://in.indeed.com/rc/clk?jk=7bdeab65a31bf8d6&fccid=2f9af8183fc08763&vjs=3
